3/14 09:02:20.928  ---- Startup ----
3/14 09:02:30.072  ---- ClientAvailableHotfixes ----
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIBlob
3/14 09:02:30.072      51005, QuestPOIBlob
3/14 09:02:30.072      51005, Creature
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIBlob
3/14 09:02:30.072      51005, CreatureXDisplayInfo
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, CreatureDifficulty
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestObjective
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2CliTask
3/14 09:02:30.072      51006, QuestV2
3/14 09:02:30.072      51008, SpellMisc
3/14 09:02:30.072      51008, SpellMisc
3/14 09:02:30.072      51008, SpellMisc
3/14 09:02:30.072      51008, SpellMisc
3/14 09:02:30.072      51008, SpellMisc
3/14 09:02:30.072      51008, SpellMisc
3/14 09:02:30.072      51009, SpellTargetRestrictions
3/14 09:02:30.072      51009, SpellEffect
3/14 09:02:30.072      51009, SpellProceduralEffect
3/14 09:02:30.072      51009, SpellEffect
3/14 09:02:30.072      51009, SpellEffect
3/14 09:02:30.072      51009, SpellMisc
3/14 09:02:30.072      51009, SpellMisc
3/14 09:02:30.072      51009, SpellVisualKitEffect
3/14 09:02:30.072      51009, SpellVisualKitModelAttach
3/14 09:02:30.072      51009, SpellMisc
3/14 09:02:30.072      51009, SpellEffect
3/14 09:02:30.072      51009, SpellMisc
